timestamp,acChargingEnergy,acDischargeableElectricEnergy,acDischargingEnergy,workingOperationStatus
1643587209,,,,66.0
1643587270,,,,66.0
1643587330,,,,66.0
1643587390,,,,66.0
1643587450,191.739,5554.0,158.677,66.0
1643587510,,,,66.0
1643587570,,,,66.0
1643587630,,,,66.0
1643587690,,,,66.0
1643587750,191.749,5554.0,158.677,66.0
1643587810,,,,66.0
1643587870,,,,66.0
1643587930,,,,66.0
1643587990,,,,66.0
1643588050,191.764,5554.0,158.678,66.0
1643588110,,,,67.0
1643588171,,,,66.0
1643588231,,,,66.0
1643588291,,,,66.0
1643588351,191.786,5554.0,158.678,66.0
1643588411,,,,66.0
1643588471,,,,66.0
1643588531,,,,66.0
1643588591,,,,66.0
1643588651,191.813,5621.0,158.678,66.0
1643588711,,,,66.0
1643588771,,,,66.0
1643588831,,,,66.0
1643588891,,,,66.0
1643588951,191.837,5621.0,158.678,66.0
1643589012,,,,66.0
1643589072,,,,66.0
1643589132,,,,66.0
1643589192,,,,66.0
1643589252,191.864,5621.0,158.678,66.0
1643589312,,,,66.0
1643589372,,,,66.0
1643589432,,,,66.0
1643589492,,,,66.0
1643589552,191.89,5688.0,158.678,66.0
1643589612,,,,66.0
1643589672,,,,66.0
1643589732,,,,66.0
1643589792,,,,66.0
1643589852,191.922,5688.0,158.678,66.0
1643589912,,,,66.0
1643589973,,,,66.0
1643590033,,,,66.0
1643590093,,,,66.0
1643590153,191.964,5755.0,158.678,66.0
1643590213,,,,66.0
1643590273,,,,66.0
1643590333,,,,66.0
1643590393,,,,66.0
1643590453,192.012,5755.0,158.678,66.0
1643590513,,,,66.0
1643590573,,,,66.0
1643590633,,,,66.0
1643590693,,,,66.0
1643590753,192.069,5822.0,158.678,66.0
1643590813,,,,66.0
1643590873,,,,66.0
1643590934,,,,66.0
1643590994,,,,66.0
1643591054,192.131,5888.0,158.678,66.0
1643591114,,,,66.0
1643591174,,,,66.0
1643591234,,,,66.0
1643591294,,,,66.0
1643591354,192.191,5955.0,158.678,66.0
1643591414,,,,66.0
1643591474,,,,66.0
1643591534,,,,66.0
1643591594,,,,66.0
1643591654,192.253,5955.0,158.678,66.0
1643591714,,,,66.0
1643591774,,,,66.0
1643591834,,,,66.0
1643591895,,,,66.0
1643591955,192.315,6022.0,158.678,66.0
1643592015,,,,66.0
1643592075,,,,66.0
1643592135,,,,66.0
1643592195,,,,66.0
1643592255,192.379,6089.0,158.678,66.0
1643592315,,,,66.0
1643592375,,,,66.0
1643592435,,,,66.0
1643592495,,,,66.0
1643592555,192.443,6156.0,158.678,66.0
1643592615,,,,66.0
1643592675,,,,66.0
1643592735,,,,66.0
1643592795,,,,66.0
1643592829,,,,66.0
1643592835,,,,66.0
1643592837,,,,66.0
1643592856,192.509,6223.0,158.678,66.0
1643592916,,,,66.0
1643592976,,,,66.0
1643593036,,,,66.0
1643593096,,,,66.0
1643593156,192.581,6223.0,158.678,66.0
1643593216,,,,66.0
1643593276,,,,66.0
1643593336,,,,66.0
1643593396,,,,66.0
1643593456,192.671,6357.0,158.678,66.0
1643593516,,,,66.0
1643593576,,,,66.0
1643593636,,,,66.0
1643593696,,,,66.0
1643593756,192.744,6424.0,158.678,66.0
1643593817,,,,66.0
1643593877,,,,66.0
1643593937,,,,66.0
1643593997,,,,66.0
1643594057,192.811,6424.0,158.678,66.0
1643594117,,,,66.0
1643594177,,,,66.0
1643594237,,,,66.0
1643594297,,,,66.0
1643594357,192.886,6491.0,158.678,66.0
1643594417,,,,66.0
1643594477,,,,66.0
1643594537,,,,66.0
1643594597,,,,66.0
1643594657,192.981,6625.0,158.678,66.0
1643594717,,,,66.0
1643594778,,,,66.0
1643594838,,,,66.0
1643594898,,,,66.0
1643594958,193.063,6625.0,158.678,66.0
1643595018,,,,66.0
1643595078,,,,66.0
1643595138,,,,68.0
1643595198,,,,68.0
1643595244,,,,68.0
1643595246,,,,68.0
1643595258,193.105,6692.0,158.678,68.0
1643595280,,,,68.0
1643595318,,,,68.0
1643595378,,,,68.0
1643595438,,,,68.0
1643595498,,,,68.0
1643595558,193.105,6692.0,158.678,68.0
1643595618,,,,68.0
1643595679,,,,68.0
1643595739,,,,68.0
1643595799,,,,68.0
1643595859,193.105,6692.0,158.678,68.0
1643595919,,,,68.0
1643595979,,,,68.0
1643596038,,,,68.0
1643596098,,,,68.0
