timestamp,normalUsage,reverseUsage,instanceElectricity,instanceCurrents,instanceCurrentsT
1643587200,4721.8,588.7,,,
1643587202,,,51.0,,
1643587233,,,49.0,-3.0,5.0
1643587262,,,58.0,,
1643587293,,,63.0,-3.0,6.0
1643587322,,,48.0,,
1643587354,,,53.0,-3.0,5.0
1643587382,,,49.0,,
1643587413,,,58.0,-3.0,5.0
1643587442,,,57.0,,
1643587473,,,55.0,-3.0,5.0
1643587502,,,44.0,,
1643587534,,,46.0,-3.0,5.0
1643587562,,,47.0,,
1643587594,,,46.0,-3.0,6.0
1643587622,,,46.0,,
1643587653,,,46.0,-3.0,5.0
1643587682,,,47.0,,
1643587714,,,44.0,-3.0,5.0
1643587742,,,47.0,,
1643587774,,,56.0,-3.0,5.0
1643587803,,,62.0,,
1643587834,,,51.0,-3.0,6.0
1643587863,,,57.0,,
1643587894,,,46.0,-3.0,6.0
1643587923,,,80.0,,
1643587954,,,54.0,-3.0,6.0
1643587983,,,131.0,,
1643588014,,,90.0,-3.0,6.0
1643588043,,,91.0,,
1643588074,,,49.0,-3.0,6.0
1643588103,,,56.0,,
1643588134,,,54.0,-3.0,6.0
1643588163,,,58.0,,
1643588195,,,68.0,-3.0,6.0
1643588223,,,67.0,,
1643588255,,,57.0,-3.0,6.0
1643588283,,,55.0,,
1643588315,,,54.0,-3.0,6.0
1643588343,,,48.0,,
1643588374,,,51.0,-3.0,6.0
1643588403,,,52.0,,
1643588435,,,50.0,-3.0,6.0
1643588464,,,61.0,,
1643588495,,,53.0,-3.0,6.0
1643588523,,,51.0,,
1643588555,,,50.0,-3.0,6.0
1643588584,,,46.0,,
1643588614,,,60.0,-3.0,6.0
1643588644,,,47.0,,
1643588675,,,57.0,-3.0,6.0
1643588703,,,57.0,,
1643588735,,,56.0,-3.0,6.0
1643588763,,,49.0,,
1643588795,,,71.0,-3.0,6.0
1643588824,,,67.0,,
1643588855,,,60.0,-3.0,6.0
1643588884,,,59.0,,
1643588915,,,50.0,-3.0,6.0
1643588944,,,54.0,,
1643588975,,,43.0,-3.0,6.0
1643589000,4721.9,588.7,,,
1643589004,,,60.0,,
1643589035,,,58.0,-3.0,5.0
1643589064,,,53.0,,
1643589095,,,57.0,-3.0,6.0
1643589124,,,57.0,,
1643589155,,,56.0,-3.0,5.0
1643589184,,,49.0,,
1643589216,,,49.0,-3.0,5.0
1643589244,,,64.0,,
1643589275,,,51.0,-3.0,6.0
1643589304,,,52.0,,
1643589335,,,62.0,-3.0,6.0
1643589364,,,66.0,,
1643589396,,,54.0,-3.0,6.0
1643589425,,,53.0,,
1643589456,,,55.0,-3.0,6.0
1643589485,,,58.0,,
1643589517,,,54.0,-3.0,6.0
1643589545,,,64.0,,
1643589576,,,54.0,-3.0,6.0
1643589604,,,49.0,,
1643589636,,,51.0,-3.0,5.0
1643589665,,,56.0,,
1643589696,,,56.0,-3.0,5.0
1643589725,,,52.0,,
1643589756,,,53.0,-3.0,5.0
1643589785,,,49.0,,
1643589816,,,47.0,-3.0,6.0
1643589845,,,58.0,,
1643589876,,,55.0,-3.0,5.0
1643589905,,,53.0,,
1643589936,,,56.0,-4.0,6.0
1643589965,,,37.0,,
1643589996,,,37.0,-3.0,5.0
1643590025,,,34.0,,
1643590056,,,35.0,-2.0,5.0
1643590085,,,28.0,,
1643590116,,,28.0,-2.0,5.0
1643590145,,,26.0,,
1643590176,,,26.0,-2.0,5.0
1643590205,,,23.0,,
1643590237,,,25.0,-2.0,4.0
1643590265,,,22.0,,
1643590297,,,26.0,-2.0,4.0
1643590325,,,29.0,,
1643590357,,,9.0,-2.0,5.0
1643590385,,,7.0,,
1643590417,,,7.0,-2.0,4.0
1643590445,,,4.0,,
1643590477,,,10.0,-2.0,4.0
1643590506,,,10.0,,
1643590537,,,7.0,-2.0,5.0
1643590566,,,11.0,,
1643590597,,,0.0,-2.0,3.0
1643590625,,,1.0,,
1643590657,,,9.0,-2.0,3.0
1643590686,,,13.0,,
1643590717,,,10.0,-2.0,3.0
1643590746,,,50.0,,
1643590777,,,7.0,-2.0,4.0
1643590800,4721.9,588.7,,,
1643590806,,,19.0,,
1643590837,,,4.0,-2.0,4.0
1643590866,,,4.0,,
1643590897,,,9.0,-2.0,4.0
1643590926,,,13.0,,
1643590957,,,8.0,-2.0,3.0
1643590986,,,6.0,,
1643591017,,,1.0,-2.0,3.0
1643591046,,,0.0,,
1643591077,,,0.0,-2.0,3.0
1643591106,,,34.0,,
1643591138,,,-2.0,-2.0,3.0
1643591166,,,5.0,,
1643591198,,,4.0,-2.0,4.0
1643591226,,,4.0,,
1643591258,,,13.0,-2.0,3.0
1643591286,,,6.0,,
1643591318,,,3.0,-2.0,3.0
1643591346,,,0.0,,
1643591378,,,7.0,-2.0,3.0
1643591407,,,2.0,,
1643591438,,,9.0,-2.0,3.0
1643591466,,,8.0,,
1643591499,,,10.0,-2.0,3.0
1643591526,,,7.0,,
1643591559,,,2.0,-2.0,3.0
1643591586,,,7.0,,
1643591618,,,10.0,-2.0,3.0
1643591647,,,10.0,,
1643591678,,,13.0,-2.0,4.0
1643591707,,,13.0,,
1643591738,,,11.0,-2.0,3.0
1643591767,,,3.0,,
1643591798,,,15.0,-2.0,4.0
1643591827,,,20.0,,
1643591859,,,8.0,-2.0,3.0
1643591887,,,12.0,,
1643591919,,,10.0,-2.0,4.0
1643591947,,,7.0,,
1643591978,,,9.0,-2.0,4.0
1643592007,,,23.0,,
1643592038,,,5.0,-2.0,4.0
1643592068,,,9.0,,
1643592100,,,7.0,-2.0,4.0
1643592127,,,10.0,,
1643592159,,,13.0,-2.0,4.0
1643592187,,,4.0,,
1643592218,,,17.0,-2.0,4.0
1643592248,,,-1.0,,
1643592279,,,4.0,-2.0,3.0
1643592308,,,8.0,,
1643592339,,,8.0,-2.0,4.0
1643592367,,,7.0,,
1643592399,,,3.0,-2.0,3.0
1643592428,,,2.0,,
1643592459,,,12.0,-2.0,4.0
1643592487,,,6.0,,
1643592519,,,8.0,-2.0,4.0
1643592548,,,3.0,,
1643592579,,,4.0,-2.0,3.0
1643592600,4721.9,588.7,,,
1643592608,,,6.0,,
1643592639,,,6.0,-2.0,3.0
