timestamp,generatedElectricity,instanceElectricity_x,normalUsage,reverseUsage,instanceElectricity_y,instanceCurrents,instanceCurrentsT
1643587200,,,24545.4,1792.5,,,
1643587219,,,,,-1796.0,,
1643587249,,,,,-1732.0,-9.0,-8.0
1643587279,,,,,-1804.0,,
1643587309,,,,,-1748.0,-10.0,-8.0
1643587338,,,,,-1760.0,,
1643587369,,,,,-1824.0,-10.0,-9.0
1643587399,,,,,-1764.0,,
1643587429,,,,,-1792.0,-9.0,-9.0
1643587459,,,,,-1828.0,,
1643587489,,,,,-1764.0,-10.0,-8.0
1643587519,,,,,-1564.0,,
1643587549,,,,,-1888.0,-10.0,-9.0
1643587579,,,,,-1840.0,,
1643587602,2290.48,2149.0,,,,,
1643587609,,,,,-1844.0,-10.0,-9.0
1643587623,,2137.0,,,,,
1643587639,,,,,-1888.0,,
1643587669,,,,,-1724.0,-10.0,-8.0
1643587683,,2147.0,,,,,
1643587699,,,,,-1864.0,,
1643587729,,,,,-1956.0,-10.0,-9.0
1643587743,,2200.0,,,,,
1643587759,,,,,-1884.0,,
1643587789,,,,,-1988.0,-11.0,-9.0
1643587803,,2226.0,,,,,
1643587819,,,,,-1960.0,,
1643587849,,,,,-1972.0,-10.0,-9.0
1643587863,2290.48,2272.0,,,,,
1643587879,,,,,-2016.0,,
1643587909,,,,,-1980.0,-11.0,-9.0
1643587923,,2283.0,,,,,
1643587939,,,,,-1988.0,,
1643587969,,,,,-2036.0,-11.0,-10.0
1643587983,,2287.0,,,,,
1643587999,,,,,-1988.0,,
1643588029,,,,,-2020.0,-11.0,-10.0
1643588043,,2285.0,,,,,
1643588059,,,,,-2036.0,,
1643588090,,,,,-1936.0,-10.0,-9.0
1643588104,,2285.0,,,,,
1643588120,,,,,-1776.0,,
1643588150,,,,,-2064.0,-11.0,-10.0
1643588180,,,,,-1952.0,,
1643588210,,,,,-2068.0,-11.0,-10.0
1643588224,2290.48,2320.0,,,,,
1643588240,,,,,-1828.0,,
1643588270,,,,,-2016.0,-11.0,-10.0
1643588284,,2358.0,,,,,
1643588300,,,,,-2112.0,,
1643588330,,,,,-2088.0,-12.0,-10.0
1643588344,,2387.0,,,,,
1643588360,,,,,-2104.0,,
1643588390,,,,,-2092.0,-12.0,-10.0
1643588404,,2400.0,,,,,
1643588420,,,,,-2068.0,,
1643588450,,,,,-2112.0,-12.0,-10.0
1643588464,2290.48,2426.0,,,,,
1643588480,,,,,-2136.0,,
1643588510,,,,,-2048.0,-12.0,-10.0
1643588524,,2460.0,,,,,
1643588540,,,,,-2156.0,,
1643588570,,,,,-2192.0,-12.0,-10.0
1643588584,,2485.0,,,,,
1643588600,,,,,-2080.0,,
1643588630,,,,,-2216.0,-12.0,-11.0
1643588644,,2507.0,,,,,
1643588660,,,,,-2204.0,,
1643588690,,,,,-2104.0,-12.0,-10.0
1643588704,,2515.0,,,,,
1643588720,,,,,-1972.0,,
1643588750,,,,,-1980.0,-10.0,-11.0
1643588764,2290.48,2526.0,,,,,
1643588780,,,,,-2168.0,,
1643588810,,,,,-2232.0,-12.0,-11.0
1643588824,,2553.0,,,,,
1643588840,,,,,-2152.0,,
1643588870,,,,,-2272.0,-12.0,-11.0
1643588884,,2562.0,,,,,
1643588900,,,,,-2280.0,,
1643588931,,,,,-2240.0,-12.0,-11.0
1643588944,,2578.0,,,,,
1643588960,,,,,-2348.0,,
1643588990,,,,,-2348.0,-13.0,-11.0
1643589000,,,24545.4,1793.5,,,
1643589004,,2590.0,,,,,
1643589020,,,,,-2264.0,,
1643589051,,,,,-2396.0,-13.0,-12.0
1643589064,2291.632,2618.0,,,,,
1643589080,,,,,-2400.0,,
1643589111,,,,,-2308.0,-12.0,-11.0
1643589124,,2656.0,,,,,
1643589141,,,,,-2416.0,,
1643589171,,,,,-2424.0,-13.0,-12.0
1643589185,,2670.0,,,,,
1643589201,,,,,-2404.0,,
1643589231,,,,,-2464.0,-13.0,-12.0
1643589245,,2705.0,,,,,
1643589261,,,,,-2220.0,,
1643589291,,,,,-2476.0,-13.0,-12.0
1643589305,,2721.0,,,,,
1643589321,,,,,-2244.0,,
1643589351,,,,,-2416.0,-13.0,-12.0
1643589365,2291.632,2757.0,,,,,
1643589380,,,,,-2516.0,,
1643589410,,,,,-2532.0,-14.0,-12.0
1643589424,,2773.0,,,,,
1643589440,,,,,-2436.0,,
1643589470,,,,,-2544.0,-14.0,-12.0
1643589484,,2792.0,,,,,
1643589500,,,,,-2580.0,,
1643589530,,,,,-2492.0,-13.0,-12.0
1643589544,,2834.0,,,,,
1643589560,,,,,-2616.0,,
1643589590,,,,,-2500.0,-14.0,-12.0
1643589604,,2858.0,,,,,
