timestamp,evRemainingChargableCapacity,evRemainingDischargableCapacity,vehicleStatus
1643587307,0.0,10200.0,66.0
1643587907,0.0,10200.0,66.0
1643588508,0.0,10200.0,66.0
1643589109,0.0,10200.0,66.0
1643589709,0.0,10200.0,66.0
1643590310,0.0,10200.0,66.0
1643590911,0.0,10200.0,66.0
1643591511,0.0,10200.0,66.0
1643592112,0.0,10200.0,66.0
1643592712,0.0,10200.0,66.0
1643593313,0.0,10200.0,66.0
1643593913,0.0,10200.0,66.0
1643594513,0.0,10200.0,66.0
1643595114,0.0,10200.0,66.0
1643595714,0.0,10200.0,66.0
1643596315,0.0,10200.0,66.0
1643596916,0.0,10200.0,66.0
1643597516,0.0,10200.0,66.0
1643598117,0.0,10200.0,66.0
1643598718,0.0,10100.0,66.0
1643599318,0.0,9800.0,66.0
1643599919,0.0,9700.0,66.0
1643600519,0.0,9300.0,66.0
1643601120,100.0,9100.0,67.0
1643601721,0.0,9300.0,66.0
1643602321,0.0,9200.0,66.0
1643602922,0.0,9300.0,66.0
1643603523,0.0,9100.0,67.0
1643604123,0.0,9200.0,66.0
1643604723,0.0,9200.0,66.0
1643605324,0.0,9500.0,66.0
1643605924,0.0,9400.0,66.0
1643606525,0.0,9300.0,66.0
1643607125,0.0,9100.0,67.0
1643607726,0.0,9300.0,66.0
1643608326,0.0,9100.0,67.0
1643608927,0.0,9400.0,66.0
1643609528,0.0,9200.0,66.0
1643610128,0.0,9300.0,66.0
1643610729,0.0,9100.0,64.0
1643611329,0.0,9100.0,67.0
1643611930,0.0,9100.0,67.0
1643612531,0.0,9100.0,67.0
1643613131,0.0,9100.0,67.0
1643613732,0.0,9100.0,67.0
1643614333,0.0,9500.0,64.0
1643614933,100.0,9500.0,67.0
1643615534,200.0,9300.0,67.0
1643616135,500.0,8700.0,67.0
1643616735,600.0,8700.0,67.0
1643617336,600.0,8500.0,67.0
1643617936,600.0,8400.0,67.0
1643618537,700.0,8200.0,67.0
1643619137,700.0,8200.0,67.0
1643619737,700.0,8200.0,67.0
1643620338,800.0,8100.0,67.0
1643620939,800.0,8000.0,67.0
1643621539,1200.0,7500.0,67.0
1643622140,1200.0,7500.0,67.0
1643622740,1200.0,7500.0,67.0
1643623341,1100.0,7600.0,67.0
1643623942,1300.0,7400.0,67.0
1643624542,1200.0,7500.0,67.0
1643625143,1200.0,7500.0,67.0
1643625744,1200.0,7400.0,67.0
1643626344,1200.0,7400.0,67.0
1643626945,1300.0,7400.0,67.0
1643627546,1300.0,7400.0,67.0
1643628146,1400.0,7300.0,67.0
1643628747,1600.0,7200.0,67.0
1643629348,1600.0,7200.0,67.0
1643629947,2000.0,6800.0,67.0
1643630548,2100.0,6700.0,67.0
1643631148,2300.0,6600.0,67.0
1643631749,2400.0,6500.0,67.0
1643632350,2800.0,6100.0,67.0
1643632950,2900.0,6000.0,67.0
1643633551,3100.0,5800.0,67.0
1643634151,3300.0,5700.0,67.0
1643634752,3500.0,5500.0,67.0
1643635353,3600.0,5400.0,67.0
1643635953,3700.0,5300.0,67.0
1643636554,3900.0,5100.0,67.0
1643637155,4000.0,5100.0,67.0
1643637755,4100.0,5000.0,67.0
1643638356,4100.0,5000.0,67.0
1643638956,4100.0,5000.0,67.0
1643639557,4100.0,5000.0,67.0
1643640158,4100.0,5000.0,67.0
1643640757,4100.0,5000.0,67.0
1643641358,4100.0,5000.0,67.0
1643641959,4100.0,5000.0,67.0
1643642559,4100.0,5000.0,67.0
1643643160,4100.0,5000.0,67.0
1643643760,4100.0,5000.0,67.0
1643644361,4100.0,5000.0,67.0
1643644962,4100.0,5000.0,67.0
1643645562,4100.0,5000.0,67.0
1643646163,4100.0,5000.0,67.0
1643646763,4100.0,5000.0,67.0
1643647364,4100.0,5000.0,67.0
1643647965,4100.0,5000.0,67.0
1643648565,4100.0,5000.0,67.0
1643648621,,,67.0
1643649166,4100.0,5000.0,67.0
1643649767,4100.0,5000.0,67.0
1643650367,4100.0,5000.0,67.0
1643650968,4100.0,5000.0,67.0
1643651567,4100.0,5000.0,67.0
1643652168,4100.0,5000.0,67.0
1643652769,4100.0,5000.0,67.0
1643653369,4100.0,5000.0,67.0
1643653970,4100.0,5000.0,67.0
1643654570,4100.0,5000.0,67.0
1643655171,4100.0,5000.0,67.0
1643655772,4100.0,5000.0,67.0
1643656372,4100.0,5000.0,67.0
1643656973,4100.0,5000.0,67.0
1643657574,4100.0,5000.0,67.0
1643658174,4100.0,5000.0,67.0
1643658775,4500.0,5200.0,67.0
1643659375,3600.0,5900.0,67.0
1643659976,3000.0,6800.0,67.0
1643660577,2600.0,7400.0,67.0
1643661177,2200.0,8100.0,67.0
1643661778,2000.0,8300.0,67.0
1643662378,1800.0,8700.0,67.0
1643662978,1400.0,9000.0,67.0
1643663579,1200.0,9200.0,67.0
1643664180,1000.0,9400.0,67.0
1643664780,600.0,9700.0,67.0
1643665381,0.0,10300.0,66.0
1643665981,0.0,10300.0,66.0
1643666582,0.0,10300.0,66.0
1643667183,0.0,10300.0,66.0
1643667783,0.0,10300.0,66.0
1643668384,0.0,10300.0,66.0
1643668985,0.0,10300.0,66.0
1643669585,0.0,10300.0,66.0
1643670186,0.0,10300.0,66.0
1643670786,0.0,10300.0,66.0
1643671387,0.0,10300.0,66.0
1643671988,0.0,10300.0,66.0
1643672588,0.0,10300.0,66.0
1643673189,0.0,10300.0,66.0
1643673789,0.0,10300.0,66.0
1643674390,0.0,10300.0,66.0
1643674991,0.0,10300.0,66.0
1643675591,0.0,10300.0,66.0
1643676192,0.0,10300.0,66.0
1643676792,0.0,10300.0,66.0
1643677392,0.0,10300.0,66.0
1643677993,0.0,10300.0,66.0
1643678593,0.0,10300.0,66.0
1643679194,0.0,10300.0,66.0
1643679795,0.0,10300.0,66.0
1643680395,0.0,10300.0,66.0
1643680996,0.0,10300.0,66.0
1643681597,0.0,10300.0,66.0
1643682197,0.0,10300.0,66.0
1643682798,0.0,10300.0,66.0
1643683398,0.0,10300.0,66.0
1643683998,0.0,10300.0,66.0
1643684599,0.0,10300.0,66.0
1643685199,0.0,10000.0,66.0
1643685800,0.0,9800.0,66.0
1643686401,0.0,9500.0,66.0
1643687001,0.0,9200.0,66.0
1643687602,0.0,9200.0,66.0
1643688202,0.0,9300.0,66.0
1643688803,0.0,9200.0,66.0
1643689403,0.0,9200.0,66.0
1643690004,0.0,9200.0,66.0
1643690605,0.0,9200.0,66.0
