timestamp,normalUsage,reverseUsage,instanceElectricity,instanceCurrents,instanceCurrentsT,evRemainingChargableCapacity,evRemainingDischargableCapacity,vehicleStatus
1643587200,6088.8,1094.4,,,,,,
1643587218,,,232.0,7.0,-2.0,,,
1643587247,,,252.0,,,,,
1643587278,,,124.0,5.0,-2.0,,,
1643587307,,,96.0,,,0.0,10200.0,66.0
1643587338,,,128.0,4.0,-2.0,,,
1643587367,,,124.0,,,,,
1643587398,,,132.0,4.0,-2.0,,,
1643587427,,,136.0,,,,,
1643587458,,,140.0,7.0,-3.0,,,
1643587488,,,128.0,,,,,
1643587518,,,-16.0,3.0,-2.0,,,
1643587548,,,128.0,,,,,
1643587578,,,128.0,4.0,-2.0,,,
1643587607,,,128.0,,,,,
1643587638,,,128.0,4.0,-2.0,,,
1643587668,,,136.0,,,,,
1643587698,,,108.0,4.0,-2.0,,,
1643587728,,,132.0,,,,,
1643587759,,,196.0,6.0,-2.0,,,
1643587788,,,160.0,,,,,
1643587819,,,120.0,4.0,-2.0,,,
1643587848,,,44.0,,,,,
1643587880,,,16.0,4.0,-2.0,,,
1643587907,,,,,,0.0,10200.0,66.0
1643587908,,,96.0,,,,,
1643587939,,,152.0,5.0,-2.0,,,
1643587968,,,120.0,,,,,
1643587999,,,92.0,4.0,-2.0,,,
1643588028,,,48.0,,,,,
1643588059,,,24.0,4.0,-2.0,,,
1643588088,,,144.0,,,,,
1643588119,,,108.0,5.0,-2.0,,,
1643588148,,,124.0,,,,,
1643588179,,,84.0,5.0,-2.0,,,
1643588208,,,56.0,,,,,
1643588240,,,36.0,5.0,-3.0,,,
1643588268,,,128.0,,,,,
1643588299,,,-8.0,5.0,-3.0,,,
1643588329,,,-192.0,,,,,
1643588359,,,-164.0,3.0,-3.0,,,
1643588389,,,-232.0,,,,,
1643588420,,,-236.0,3.0,-3.0,,,
1643588448,,,-248.0,,,,,
1643588479,,,-260.0,3.0,-3.0,,,
1643588508,,,-276.0,,,0.0,10200.0,66.0
1643588540,,,-292.0,3.0,-3.0,,,
1643588568,,,-308.0,,,,,
1643588600,,,-352.0,-3.0,-4.0,,,
1643588629,,,-316.0,,,,,
1643588660,,,-324.0,-3.0,-3.0,,,
1643588689,,,-336.0,,,,,
1643588719,,,-360.0,-3.0,-4.0,,,
1643588749,,,-392.0,,,,,
1643588780,,,-420.0,-3.0,-4.0,,,
1643588809,,,-432.0,,,,,
1643588839,,,-432.0,-3.0,-4.0,,,
1643588869,,,-432.0,,,,,
1643588900,,,-436.0,-3.0,-4.0,,,
1643588929,,,-380.0,,,,,
1643588960,,,-328.0,4.0,-4.0,,,
1643588989,,,-344.0,,,,,
1643589000,6088.8,1094.4,,,,,,
1643589020,,,-324.0,4.0,-4.0,,,
1643589049,,,-312.0,,,,,
1643589080,,,-284.0,5.0,-4.0,,,
1643589109,,,-264.0,,,0.0,10200.0,66.0
1643589140,,,-260.0,5.0,-5.0,,,
1643589169,,,-316.0,,,,,
1643589200,,,-476.0,-3.0,-5.0,,,
1643589229,,,-404.0,,,,,
1643589260,,,-636.0,-4.0,-5.0,,,
1643589289,,,-424.0,,,,,
1643589321,,,-452.0,-4.0,-3.0,,,
1643589349,,,-304.0,,,,,
1643589380,,,-672.0,-4.0,-5.0,,,
1643589410,,,-464.0,,,,,
1643589440,,,-736.0,-4.0,-5.0,,,
1643589471,,,-372.0,,,,,
1643589500,,,-712.0,-4.0,-5.0,,,
1643589530,,,-324.0,,,,,
1643589560,,,-724.0,-4.0,-5.0,,,
1643589590,,,-736.0,,,,,
1643589620,,,-764.0,-4.0,-5.0,,,
1643589650,,,-484.0,,,,,
1643589680,,,-816.0,-4.0,-6.0,,,
1643589709,,,,,,0.0,10200.0,66.0
1643589710,,,-732.0,,,,,
1643589741,,,-804.0,-4.0,-6.0,,,
1643589770,,,-808.0,,,,,
1643589801,,,-560.0,-1.0,-6.0,,,
1643589830,,,-820.0,,,,,
1643589861,,,-764.0,-4.0,-6.0,,,
1643589890,,,-828.0,,,,,
1643589922,,,-908.0,-4.0,-6.0,,,
1643589950,,,-864.0,,,,,
1643589981,,,-1064.0,-5.0,-7.0,,,
1643590010,,,-1096.0,,,,,
1643590041,,,-1004.0,-5.0,-7.0,,,
1643590070,,,-1132.0,,,,,
1643590101,,,-1108.0,-5.0,-7.0,,,
1643590130,,,-1120.0,,,,,
1643590162,,,-968.0,-5.0,-7.0,,,
1643590190,,,124.0,,,,,
1643590221,,,116.0,4.0,2.0,,,
1643590250,,,-564.0,,,,,
1643590282,,,-560.0,-3.0,-4.0,,,
1643590310,,,-456.0,,,0.0,10200.0,66.0
1643590341,,,-492.0,-3.0,-4.0,,,
1643590370,,,-460.0,,,,,
1643590402,,,-632.0,-3.0,-5.0,,,
1643590431,,,-592.0,,,,,
1643590461,,,-708.0,-4.0,-5.0,,,
1643590491,,,-392.0,,,,,
1643590521,,,-204.0,-1.0,-4.0,,,
1643590550,,,-492.0,,,,,
1643590581,,,-440.0,5.0,-6.0,,,
1643590611,,,-672.0,,,,,
1643590642,,,-864.0,-4.0,-6.0,,,
1643590671,,,-1020.0,,,,,
1643590702,,,-1024.0,-5.0,-7.0,,,
1643590732,,,-1308.0,,,,,
1643590762,,,-1284.0,-5.0,-8.0,,,
1643590791,,,-1460.0,,,,,
1643590800,6088.8,1094.8,,,,,,
1643590821,,,-1468.0,-6.0,-9.0,,,
1643590851,,,-1452.0,,,,,
1643590882,,,-1332.0,-6.0,-9.0,,,
1643590911,,,-1168.0,,,0.0,10200.0,66.0
1643590942,,,-1048.0,-5.0,-7.0,,,
1643590971,,,-1212.0,,,,,
1643591002,,,-1184.0,-5.0,-7.0,,,
1643591031,,,-1188.0,,,,,
1643591062,,,-1180.0,-5.0,-7.0,,,
1643591091,,,-1128.0,,,,,
1643591122,,,-1192.0,-5.0,-7.0,,,
1643591151,,,-1036.0,,,,,
1643591182,,,-1184.0,-5.0,-7.0,,,
1643591212,,,-1168.0,,,,,
1643591242,,,-932.0,-5.0,-8.0,,,
1643591271,,,-1036.0,,,,,
1643591302,,,-1248.0,-6.0,-8.0,,,
1643591331,,,-1372.0,,,,,
1643591364,,,-1380.0,-6.0,-8.0,,,
1643591392,,,-1492.0,,,,,
1643591422,,,-1480.0,-6.0,-9.0,,,
1643591451,,,-1444.0,,,,,
1643591482,,,-1536.0,-7.0,-9.0,,,
1643591511,,,,,,0.0,10200.0,66.0
1643591512,,,-1604.0,,,,,
1643591543,,,-1544.0,-7.0,-9.0,,,
1643591572,,,-1588.0,,,,,
1643591603,,,-1200.0,-6.0,-9.0,,,
1643591632,,,-984.0,,,,,
1643591663,,,-1240.0,-6.0,-8.0,,,
1643591692,,,-1132.0,,,,,
1643591723,,,-820.0,-6.0,-8.0,,,
1643591752,,,-1012.0,,,,,
1643591783,,,-988.0,-6.0,-8.0,,,
1643591812,,,-1144.0,,,,,
1643591844,,,-1360.0,-6.0,-8.0,,,
1643591872,,,-1396.0,,,,,
1643591903,,,-1500.0,-7.0,-9.0,,,
1643591932,,,-1564.0,,,,,
1643591963,,,-1564.0,-7.0,-10.0,,,
1643591992,,,-1640.0,,,,,
1643592023,,,-1640.0,-7.0,-10.0,,,
1643592052,,,-1652.0,,,,,
1643592083,,,-1648.0,-7.0,-10.0,,,
1643592112,,,-1492.0,,,0.0,10200.0,66.0
