timestamp,temperatureSetting,operationMode,operationStatus,airFlow
1643973681,20.0,67.0,49.0,65.0
1643973744,20.0,67.0,48.0,65.0
1643973787,20.0,67.0,49.0,65.0
1643973853,20.0,67.0,49.0,65.0
1643973878,20.0,67.0,49.0,65.0
1643973982,20.0,67.0,49.0,65.0
1643974282,20.0,67.0,49.0,65.0
1643974475,20.0,67.0,49.0,65.0
1643974478,20.0,67.0,49.0,65.0
1643974642,20.0,67.0,49.0,65.0
1643974769,20.0,67.0,49.0,65.0
1643974882,20.0,67.0,49.0,65.0
1643975183,20.0,67.0,49.0,65.0
1643975410,20.0,67.0,49.0,65.0
1643975483,20.0,67.0,49.0,65.0
1643975783,20.0,67.0,49.0,65.0
1643976084,20.0,67.0,49.0,65.0
1643976384,20.0,67.0,49.0,65.0
1643976684,20.0,67.0,49.0,65.0
1643976984,20.0,67.0,49.0,65.0
1643977285,20.0,67.0,49.0,65.0
1643977360,20.0,67.0,49.0,65.0
1643977480,20.0,67.0,49.0,65.0
1643977585,20.0,67.0,49.0,65.0
1643977832,20.0,67.0,49.0,65.0
1643977885,20.0,67.0,49.0,65.0
1643977966,20.0,67.0,49.0,65.0
1643978037,20.0,67.0,49.0,65.0
1643978186,20.0,67.0,49.0,65.0
1643978318,20.0,67.0,49.0,65.0
1643978486,20.0,67.0,49.0,65.0
1643978690,20.0,67.0,48.0,65.0
1643978697,20.0,67.0,48.0,65.0
1643978786,20.0,67.0,48.0,65.0
1643979087,20.0,67.0,48.0,65.0
1643979387,20.0,67.0,48.0,65.0
1643979687,20.0,67.0,48.0,65.0
1643979830,20.0,67.0,48.0,65.0
1643979836,20.0,67.0,48.0,65.0
1643979838,20.0,67.0,48.0,65.0
1643979842,20.0,67.0,49.0,65.0
1643979879,20.0,67.0,49.0,65.0
1643979988,20.0,67.0,49.0,65.0
1643980288,20.0,67.0,49.0,65.0
1643980588,20.0,67.0,49.0,65.0
1643980729,20.0,67.0,49.0,65.0
1643980731,20.0,67.0,49.0,65.0
1643980888,20.0,67.0,49.0,65.0
1643981189,20.0,67.0,49.0,65.0
1643981489,20.0,67.0,49.0,65.0
1643981789,20.0,67.0,49.0,65.0
1643981883,20.0,67.0,49.0,65.0
1643981889,20.0,67.0,49.0,65.0
1643982090,20.0,67.0,49.0,65.0
1643982390,20.0,67.0,49.0,65.0
1643982690,20.0,67.0,49.0,65.0
1643982991,20.0,67.0,49.0,65.0
1643983291,20.0,67.0,49.0,65.0
1643983591,20.0,67.0,49.0,65.0
1643983892,20.0,67.0,49.0,65.0
1643984191,20.0,67.0,49.0,65.0
1643984491,20.0,67.0,49.0,65.0
1643984791,20.0,67.0,49.0,65.0
1643985092,20.0,67.0,49.0,65.0
1643985392,20.0,67.0,49.0,65.0
1643985692,20.0,67.0,49.0,65.0
1643985993,20.0,67.0,49.0,65.0
1643986293,20.0,67.0,49.0,65.0
1643986593,20.0,67.0,49.0,65.0
1643986894,20.0,67.0,49.0,65.0
1643987194,20.0,67.0,49.0,65.0
1643987494,20.0,67.0,49.0,65.0
1643987794,20.0,67.0,49.0,65.0
1643988095,20.0,67.0,49.0,65.0
1643988243,20.0,67.0,49.0,65.0
1643988255,20.0,67.0,49.0,65.0
1643988395,20.0,67.0,49.0,65.0
1643988647,20.0,67.0,48.0,65.0
1643988695,20.0,67.0,48.0,65.0
1643988996,20.0,67.0,48.0,65.0
1643989296,20.0,67.0,48.0,65.0
1643989552,20.0,67.0,48.0,65.0
1643989558,20.0,67.0,48.0,65.0
1643989560,20.0,67.0,48.0,65.0
1643989596,20.0,67.0,48.0,65.0
1643989800,20.0,67.0,48.0,65.0
1643989897,20.0,67.0,49.0,65.0
1643990197,20.0,67.0,48.0,65.0
1643990497,20.0,67.0,48.0,65.0
1643990662,20.0,67.0,48.0,65.0
1643990682,20.0,67.0,48.0,65.0
