time,instanceElectricity,instanceCurrents,instanceCurrentsT,normalUsage,reverseUsage,daySin,weekSin
1643922994,974.1300667,5.004257319,5.212278014,29955.85199,2.1,-0.654190968,0.71437091
1643923054,940.5085837,4.998979651,4.941067336,29955.86086,2.1,-0.650884642,0.714806959
1643923114,1038.916672,5.002007821,7.03413697,29955.87009,2.1,-0.647565923,0.715242729
1643923174,773.8346002,4.992989074,3.0174223,29955.87969,2.1,-0.644234876,0.715678222
1643923234,1084.446954,5.976864587,5.951946977,29955.88965,2.1,-0.640891564,0.716113437
1643923294,1255.334397,6.999557209,6.022336089,29955.89995,2.1,-0.63753605,0.716548373
1643923354,1017.938478,6.023249171,5.007866073,29955.9106,2.1,-0.634168398,0.716983031
1643923414,1012.13794,5.007436847,4.997023692,29955.9216,2.1,-0.630788672,0.717417411
1643923474,941.4642226,4.995960884,5.007863055,29955.93292,2.1,-0.627396937,0.717851512
1643923534,955.1323264,5.001017572,4.97473696,29955.94457,2.1,-0.623993258,0.718285333
1643923594,1003.365053,4.999968568,5.996485508,29955.95654,2.1,-0.620577698,0.718718876
1643923654,1048.652878,4.999108156,5.032765453,29955.96883,2.1,-0.617150324,0.71915214
1643923714,959.1604784,5.003598807,4.975674901,29955.98142,2.1,-0.6137112,0.719585124
1643923774,1145.936254,4.986496617,5.967868275,29955.99432,2.1,-0.610260391,0.720017828
1643923834,1130.90233,5.050414724,6.04959274,29956.00751,2.1,-0.606797965,0.720450253
1643923894,796.5476183,4.72360173,4.03665675,29956.021,2.1,-0.603323985,0.720882398
1643923954,1672.602091,14.71377642,4.960620194,29956.03476,2.1,-0.59983852,0.721314262
1643924014,1727.727819,15.28007898,5.029046895,29956.04881,2.1,-0.596341634,0.721745847
1643924074,721.7970201,4.229274398,4.019859282,29956.06313,2.1,-0.592833394,0.722177151
1643924134,835.7407151,3.938675274,3.994775234,29956.07771,2.1,-0.589313868,0.722608174
1643924194,858.013345,4.016431913,4.001076817,29956.09255,2.1,-0.585783123,0.723038917
1643924254,729.5313535,3.995597073,4.000917496,29956.10765,2.1,-0.582241225,0.723469379
1643924314,850.8861843,4.001179796,3.995253199,29956.123,2.1,-0.578688242,0.723899559
1643924374,762.235203,3.999683743,4.018069706,29956.13858,2.1,-0.575124241,0.724329459
1643924434,706.116659,4.000085233,3.029171679,29956.15441,2.1,-0.571549291,0.724759076
1643924494,709.4980311,3.999965422,2.954170455,29956.17046,2.1,-0.567963459,0.725188413
1643924554,755.0893402,4.000008308,3.995489366,29956.18673,2.1,-0.564366815,0.725617467
1643924614,710.8722703,4.000001342,3.049245331,29956.20322,2.1,-0.560759425,0.72604624
1643924674,708.3698311,3.999986323,2.964654308,29956.21993,2.1,-0.55714136,0.72647473
1643924734,735.3834061,4.000053366,3.949637436,29956.23683,2.1,-0.553512687,0.726902939
1643924794,822.9520493,3.999800214,4.936920949,29956.25394,2.1,-0.549873476,0.727330865
1643924854,947.0402959,4.000973835,6.005207746,29956.27124,2.1,-0.546223796,0.727758508
1643924914,873.5355492,3.997239984,5.034655021,29956.28873,2.1,-0.542563718,0.728185868
1643924974,818.0272082,4.019530209,5.034984734,29956.3064,2.1,-0.538893309,0.728612946
1643925034,759.9449605,3.962173353,4.03944672,29956.32424,2.1,-0.535212641,0.72903974
1643925094,853.6224864,5.002077886,3.990097843,29956.34225,2.1,-0.531521783,0.729466251
1643925154,921.9432623,4.014891424,4.000289492,29956.36042,2.1,-0.527820805,0.729892479
1643925214,769.4206664,4.941290626,4.011464765,29956.37875,2.1,-0.524109779,0.730318423
1643925274,810.3672829,5.004554767,3.964794722,29956.39723,2.1,-0.520388774,0.730744084
1643925334,832.1258079,5.025085747,4.990527746,29956.41585,2.1,-0.516657862,0.73116946
1643925394,773.5362247,4.047072825,4.073648747,29956.43462,2.1,-0.512917114,0.731594552
1643925454,794.2134224,3.987460721,3.928124404,29956.45351,2.1,-0.5091666,0.732019361
1643925514,798.9391932,4.003377729,5.027187245,29956.47253,2.1,-0.505406393,0.732443884
1643925574,742.6586963,3.998859191,3.14639789,29956.49167,2.1,-0.501636563,0.732868123
1643925634,697.7786369,4.000241048,2.926348507,29956.51092,2.1,-0.497857183,0.733292078
1643925694,769.5229239,3.999935309,3.994215306,29956.53029,2.1,-0.494068324,0.733715747
1643925754,732.8289828,4.000017655,3.071020545,29956.54975,2.1,-0.490270059,0.734139131
1643925814,700.1510523,3.999994071,2.934146958,29956.56931,2.1,-0.48646246,0.734562231
1643925874,752.8915111,4.00000606,4.005724957,29956.58895,2.1,-0.4826456,0.734985044
1643925934,707.5562749,3.999981689,3.017175438,29956.60868,2.1,-0.47881955,0.735407572
1643925994,742.2122608,4.000067184,3.951054774,29956.62849,2.1,-0.474984385,0.735829815
1643926054,799.9241229,3.999749576,3.966161021,29956.64837,2.1,-0.471140176,0.736251771
1643926114,803.4380037,4.000934512,4.997041882,29956.66832,2.1,-0.467286998,0.736673442
1643926174,758.617961,3.996512377,4.019893674,29956.68832,2.1,-0.463424923,0.737094826
1643926234,814.3766623,4.013015979,4.948864902,29956.70838,2.1,-0.459554026,0.737515924
1643926294,966.5175126,3.951423705,4.972202272,29956.72848,2.1,-0.455674379,0.737936735
1643926354,814.1705044,4.994326237,5.97506675,29956.74862,2.1,-0.451786056,0.73835726
1643926414,917.1893933,4.858530607,5.914789987,29956.7688,2.1,-0.447889133,0.738777497
1643926474,1379.020498,8.823403188,7.99155108,29956.78901,2.1,-0.443983682,0.739197448
1643926534,1492.710019,8.996893679,6.067450136,29956.80924,2.1,-0.440069778,0.739617111
1643926594,1619.991021,10.77809607,6.975635499,29956.82948,2.1,-0.436147496,0.740036487
1643926654,1923.005091,12.89845075,5.978621517,29956.84974,2.1,-0.43221691,0.740455576
1643926714,2162.872025,13.8824399,7.929056319,29956.87,2.1,-0.428278096,0.740874376
1643926774,2301.95559,15.96167936,7.055057694,29956.89026,2.1,-0.424331128,0.741292889
