time,instanceElectricity,instanceCurrents,instanceCurrentsT,normalUsage,reverseUsage,daySin,weekSin
1643587200,17.19553374,0,1.44E-154,4441.1,1.3,3.89E-12,-0.433883739
1643587260,14.13207818,0.123304128,0,4441.108408,1.3,0.004363309,-0.434445257
1643587320,94.53949269,0,3.26E-155,4441.116639,1.3,0.008726535,-0.435006607
1643587380,143.417941,0.54403502,0,4441.124699,1.3,0.013089596,-0.435567787
1643587440,37.97986587,1.103209916,3.69E-154,4441.132595,1.3,0.017452406,-0.436128799
1643587500,76.47971595,0.954523224,0,4441.140331,1.3,0.021814885,-0.43668964
1643587560,67.96562115,1.085285157,5.05E-153,4441.147915,1.3,0.026176948,-0.437250312
1643587620,48.660887,0.700238663,0,4441.155352,1.3,0.030538513,-0.437810815
1643587680,275.2055131,2.500750736,6.86E-152,4441.162649,1.3,0.034899497,-0.438371147
1643587740,419.1833289,4.797955311,0,4441.169811,1.3,0.039259816,-0.438931309
1643587800,390.5875289,5.14243847,9.55E-151,4441.176845,1.3,0.043619387,-0.4394913
1643587860,399.5253887,4.356347547,0,4441.183757,1.3,0.047978129,-0.44005112
1643587920,412.9720822,4.431384835,1.39E-149,4441.190553,1.3,0.052335956,-0.44061077
1643587980,414.9645647,5.118401187,0,4441.197239,1.3,0.056692788,-0.441170248
1643588040,425.1402705,4.967029322,1.93E-148,4441.203821,1.3,0.06104854,-0.441729555
1643588100,433.6830294,5.008027631,0,4441.210306,1.3,0.065403129,-0.44228869
1643588160,438.1518636,4.999466215,2.69E-147,4441.216699,1.3,0.069756474,-0.442847654
1643588220,438.597081,4.993917551,0,4441.223006,1.3,0.07410849,-0.443406445
1643588280,455.1885141,5.02484138,3.64E-146,4441.229234,1.3,0.078459096,-0.443965064
1643588340,458.9936892,4.908074894,0,4441.235389,1.3,0.082808207,-0.444523511
1643588400,469.0767393,5.502723447,5.22E-145,4441.241476,1.3,0.087155743,-0.445081784
1643588460,461.2851039,6.189599649,0,4441.247503,1.3,0.091501619,-0.445639885
1643588520,415.3728115,5.48915581,7.07E-144,4441.253474,1.3,0.095845753,-0.446197813
1643588580,440.3814268,4.77878637,0,4441.259397,1.3,0.100188062,-0.446755568
1643588640,458.9960936,5.646532041,9.85E-143,4441.265277,1.3,0.104528463,-0.447313148
1643588700,436.0725981,5.572154908,0,4441.27112,1.3,0.108866875,-0.447870555
1643588760,421.9199906,4.876945547,1.37E-141,4441.276932,1.3,0.113203214,-0.448427788
1643588820,374.6299197,5.032974939,0,4441.282721,1.3,0.117537397,-0.448984847
1643588880,404.5619335,4.991154696,1.91E-140,4441.288491,1.3,0.121869343,-0.449541731
1643588940,458.0507297,5.002406278,0,4441.294248,1.3,0.126198969,-0.450098441
1643589000,425.4394637,4.999220193,2.66E-139,4441.3,1.3,0.130526192,-0.450654976
1643589060,432.8678967,5.000721146,0,4441.305752,1.3,0.13485093,-0.451211335
1643589120,470.1583644,4.998004152,3.60E-138,4441.311509,1.3,0.139173101,-0.45176752
1643589180,457.7312926,5.007497105,0,4441.317279,1.3,0.143492622,-0.452323529
1643589240,428.8775004,4.972014134,5.16E-137,4441.323068,1.3,0.147809411,-0.452879362
1643589300,400.0157894,5.105903414,0,4441.32888,1.3,0.152123386,-0.453435019
1643589360,371.9298008,4.490003964,6.98E-136,4441.334723,1.3,0.156434465,-0.4539905
1643589420,346.280371,3.896101282,0,4441.340603,1.3,0.160742566,-0.454545804
1643589480,312.4293428,4.027453708,9.86E-135,4441.346526,1.3,0.165047606,-0.455100932
1643589540,332.191166,3.992763377,0,4441.352497,1.3,0.169349504,-0.455655883
1643589600,358.9411911,4.001492784,1.37E-133,4441.358524,1.3,0.173648178,-0.456210657
1643589660,309.2486984,4.001265489,0,4441.364611,1.3,0.177943545,-0.456765254
1643589720,313.9813902,3.993445262,1.91E-132,4441.370766,1.3,0.182235525,-0.457319673
1643589780,348.4004023,4.024953465,0,4441.376994,1.3,0.186524036,-0.457873915
1643589840,359.0378408,3.906740878,2.66E-131,4441.383301,1.3,0.190808995,-0.458427979
1643589900,411.0991491,4.473083023,0,4441.389694,1.3,0.195090322,-0.458981864
1643589960,397.3386705,5.200927031,3.70E-130,4441.396179,1.3,0.199367934,-0.459535572
1643590020,357.4814634,4.473208853,0,4441.402761,1.3,0.203641751,-0.4600891
1643590080,364.5695206,3.906237559,5.16E-129,4441.409447,1.3,0.207911691,-0.46064245
1643590140,357.0598599,4.026840912,0,4441.416243,1.3,0.212177672,-0.461195621
1643590200,369.5351856,3.986398792,7.18E-128,4441.423155,1.3,0.216439614,-0.461748613
1643590260,365.4312256,4.027563921,0,4441.430189,1.3,0.220697435,-0.462301426
1643590320,363.6737615,3.903345523,1.00E-126,4441.437351,1.3,0.224951054,-0.462854058
1643590380,418.71168,4.482627288,0,4441.444648,1.3,0.229200391,-0.463406511
1643590440,452.2956721,5.128172678,1.37E-125,4441.452085,1.3,0.233445364,-0.463958784
1643590500,471.6160375,4.868197198,0,4441.459669,1.3,0.237685892,-0.464510877
1643590560,503.7001074,5.511950566,1.90E-124,4441.467405,1.3,0.241921896,-0.465062789
1643590620,524.6565583,6.009009799,0,4441.475301,1.3,0.246153293,-0.46561452
1643590680,570.2144373,6.427000981,2.65E-123,4441.483361,1.3,0.250380004,-0.466166071
1643590740,601.6819331,7.207995536,0,4441.491592,1.3,0.254601948,-0.46671744
1643590800,562.5831832,6.490183541,3.69E-122,4441.5,1.3,0.258819045,-0.467268628
1643590860,579.3308023,5.906261041,0,4441.508589,1.3,0.263031214,-0.467819635
1643590920,560.9505808,6.022693591,5.14E-121,4441.517353,1.3,0.267238376,-0.468370459
1643590980,522.93801,6.002964594,0,4441.526284,1.3,0.27144045,-0.468921102
1643591040,575.6597383,5.965448034,7.16E-120,4441.535372,1.3,0.275637356,-0.469471563
1643591100,465.1495067,6.135243269,0,4441.544611,1.3,0.279829014,-0.470021841
1643591160,652.6191537,5.49357889,9.97E-119,4441.553992,1.3,0.284015345,-0.470571936
1643591220,1054.920775,8.455001357,0,4441.563505,1.3,0.288196268,-0.471121849
1643591280,1038.991054,11.31146198,1.39E-117,4441.573144,1.3,0.292371705,-0.471671579
1643591340,1198.565431,11.83536833,0,4441.582899,1.3,0.296541575,-0.472221125
1643591400,1315.162813,13.19681561,1.91E-116,4441.592763,1.3,0.300705799,-0.472770488
1643591460,1206.301096,13.07899741,0,4441.602727,1.3,0.304864299,-0.473319667
1643591520,1260.07782,12.35914281,2.75E-115,4441.612783,1.3,0.309016994,-0.473868662
1643591580,860.7915457,12.48443136,0,4441.622922,1.3,0.313163806,-0.474417474
