time,instanceElectricity,instanceCurrents,instanceCurrentsT,normalUsage,reverseUsage,instanceElectricityIN,generatedElectricity,acChargingEnergy,acDischargeableElectricEnergy,acDischargingEnergy,sin(1day),sin(7days)
0,2906.05558634339,14.0538375377807,15.1997979561289,37990.1,17041.6,5.35216412215988e-113,22890.865,5920.915,3537.99948784536,4602.715,0,0
300,3586.42126579556,17.9431043539035,19.2847477413862,37990.314669793,17041.6,-1.31731953801711e-112,22890.865,5920.915,3538.00001767118,4602.715,0.0218148850345611,0.00311665433291782
600,3107.94350568651,15.7887259084373,18.3870157195047,37990.5556813151,17041.6,1.9724152595601e-112,22890.865,5920.915,3537.99998974941,4602.715,0.043619387365336,0.00623327839203358
900,2601.98089900971,13.1693618686497,15.2490329997653,37990.8188773316,17041.6,-2.22162336170961e-112,22890.865,5920.915,3538.0000224748,4602.715,0.0654031292301431,0.00934984190383927
1200,2906.08368260067,14.2321347921153,16.7390537932379,37991.1001006077,17041.6,1.80934974370126e-112,22890.865,5920.915,3537.99992009706,4602.715,0.0871557427476582,0.012466314595415
1500,4039.37178201349,19.1083463353152,21.7956860363202,37991.3951939087,17041.6,-6.01112501488831e-113,22890.865,5920.915,3538.00029716706,4602.715,0.108866874851965,0.0155826661947232
1800,4260.59431032742,21.9521572247476,23.1399035332345,37991.7,17041.6,-1.31947113293334e-112,22890.865,5920.915,3537.99893214912,4602.715,0.130526192220052,0.0186988664309023
2100,3433.21218676533,17.7651381842377,18.6466828859773,37992.0103616468,17041.6,3.58831419065393e-112,22890.865,5920.915,3538.00398096315,4602.715,0.152123386189917,0.0218148850345611
2400,3568.37675445324,18.0574969674041,19.1248713493885,37992.3221216146,17041.6,-5.5690749830026e-112,22890.865,5920.915,3537.98514399828,4602.715,0.17364817766693,0.0249306917380729
2700,3591.84845354244,18.4572103995456,19.3257617103094,37992.6311226684,17041.6,6.45863889319012e-112,22890.865,5920.915,3538.05544830179,4602.715,0.195090322016128,0.028046256275869
3000,3169.9488321441,16.2726071262608,17.4332709892467,37992.9332075738,17041.6,-5.49418093616415e-112,22890.865,5920.915,3537.80096260138,4602.715,0.216439613938103,0.0311615483847331
3300,3060.8680399753,15.8223783323282,16.8143323745654,37993.2242190958,17041.6,2.2329171962727e-112,22890.865,5920.915,3538.74202019311,4602.715,0.237685892326173,0.0342765378040953
3600,3242.52576715764,16.3643940096548,17.2438585786775,37993.5,17041.6,3.1614787528359e-112,22890.865,5920.915,3535.19967594943,4602.715,0.258819045102521,0.0373911942763256
3900,3642.59525974336,18.4081164224904,19.6763261575453,37993.7586984344,17041.6,-9.7217205684435e-112,22890.865,5920.915,3492.98822279025,4602.715,0.279829014030992,0.0405054875470285
4200,3377.00920285207,18.0232854761396,18.604479452176,37994.0076840785,17041.6,1.56742849855124e-111,22890.865,5920.915,3495.53905933916,4602.715,0.300705799504273,0.043619387365336
