timestamp,acDischargeableElectricEnergy,acChargingEnergy,acDischargingEnergy,workingOperationStatus
1643587230,,,,68.0
1643587290,,,,68.0
1643587350,,,,68.0
1643587410,,,,68.0
1643587470,3538.0,5920.915,4602.715,68.0
1643587507,,,,68.0
1643587530,,,,68.0
1643587590,,,,68.0
1643587624,,,,68.0
1643587650,,,,68.0
1643587710,,,,68.0
1643587770,3538.0,5920.915,4602.715,68.0
1643587830,,,,68.0
1643587890,,,,68.0
1643587951,,,,68.0
1643588011,,,,68.0
1643588071,3538.0,5920.915,4602.715,68.0
1643588131,,,,68.0
1643588191,,,,68.0
1643588225,,,,68.0
1643588251,,,,68.0
1643588311,,,,68.0
1643588371,3538.0,5920.915,4602.715,68.0
1643588431,,,,68.0
1643588491,,,,68.0
1643588551,,,,68.0
1643588611,,,,68.0
1643588671,3538.0,5920.915,4602.715,68.0
1643588673,,,,68.0
1643588731,,,,68.0
1643588791,,,,68.0
1643588823,,,,68.0
1643588825,,,,68.0
1643588851,,,,68.0
1643588911,,,,68.0
1643588972,3538.0,5920.915,4602.715,68.0
1643589032,,,,68.0
1643589092,,,,68.0
1643589152,,,,68.0
1643589212,,,,68.0
1643589272,3538.0,5920.915,4602.715,68.0
1643589332,,,,68.0
1643589392,,,,68.0
1643589425,,,,68.0
1643589452,,,,68.0
1643589512,,,,68.0
1643589572,3538.0,5920.915,4602.715,68.0
1643589632,,,,68.0
1643589692,,,,68.0
1643589752,,,,68.0
1643589812,,,,68.0
1643589872,3538.0,5920.915,4602.715,68.0
1643589932,,,,68.0
1643589992,,,,68.0
1643590053,,,,68.0
1643590113,,,,68.0
1643590173,3538.0,5920.915,4602.715,68.0
1643590233,,,,68.0
1643590293,,,,68.0
1643590353,,,,68.0
1643590413,,,,68.0
1643590434,,,,68.0
1643590473,3538.0,5920.915,4602.715,68.0
1643590533,,,,68.0
1643590593,,,,68.0
1643590653,,,,68.0
1643590713,,,,68.0
1643590773,3538.0,5920.915,4602.715,68.0
1643590833,,,,68.0
1643590893,,,,68.0
1643590919,,,,68.0
1643590953,,,,68.0
1643591013,,,,68.0
1643591074,3495.0,5920.915,4602.715,68.0
1643591134,,,,68.0
1643591170,,,,68.0
1643591194,,,,68.0
1643591227,,,,68.0
1643591254,,,,68.0
1643591314,,,,68.0
1643591374,3495.0,5920.915,4602.715,68.0
1643591434,,,,68.0
1643591494,,,,68.0
1643591554,,,,68.0
1643591614,,,,68.0
1643591674,3495.0,5920.915,4602.715,68.0
1643591734,,,,68.0
1643591794,,,,68.0
1643591854,,,,68.0
1643591913,,,,68.0
1643591914,,,,68.0
1643591974,3495.0,5920.915,4602.715,68.0
1643592034,,,,68.0
1643592094,,,,68.0
1643592154,,,,68.0
1643592215,,,,68.0
1643592275,3495.0,5920.915,4602.715,68.0
1643592335,,,,68.0
1643592395,,,,68.0
1643592455,,,,68.0
1643592515,,,,68.0
1643592575,3495.0,5920.915,4602.715,68.0
1643592590,,,,68.0
1643592635,,,,68.0
1643592695,,,,68.0
1643592758,,,,68.0
1643592816,,,,68.0
1643592875,3495.0,5920.915,4602.715,68.0
1643592935,,,,68.0
1643592995,,,,68.0
1643593028,,,,68.0
1643593055,,,,68.0
1643593115,,,,68.0
1643593175,3495.0,5920.915,4602.715,68.0
1643593236,,,,68.0
1643593296,,,,68.0
1643593356,,,,68.0
1643593416,,,,68.0
1643593476,3495.0,5920.915,4602.715,68.0
1643593536,,,,68.0
1643593596,,,,68.0
1643593656,,,,68.0
1643593716,,,,68.0
1643593776,3495.0,5920.915,4602.715,68.0
1643593836,,,,68.0
1643593891,,,,68.0
1643593896,,,,68.0
1643593956,,,,68.0
1643594016,,,,68.0
1643594076,3495.0,5920.915,4602.715,68.0
1643594136,,,,68.0
1643594196,,,,68.0
1643594256,,,,68.0
1643594317,,,,68.0
1643594377,3495.0,5920.915,4602.715,68.0
1643594437,,,,68.0
1643594497,,,,68.0
1643594523,,,,68.0
1643594557,,,,68.0
1643594617,,,,68.0
1643594677,3495.0,5920.915,4602.715,68.0
1643594737,,,,68.0
1643594797,,,,68.0
1643594857,,,,68.0
1643594917,,,,68.0
1643594977,3495.0,5920.915,4602.715,68.0
1643595037,,,,68.0
1643595097,,,,68.0
1643595157,,,,68.0
1643595217,,,,68.0
1643595277,3495.0,5920.915,4602.715,68.0
1643595337,,,,68.0
1643595397,,,,68.0
1643595458,,,,68.0
1643595482,,,,68.0
1643595518,,,,68.0
1643595578,3495.0,5920.915,4602.715,68.0
1643595638,,,,68.0
1643595698,,,,68.0
1643595758,,,,68.0
1643595818,,,,68.0
1643595878,3495.0,5920.915,4602.715,68.0
1643595938,,,,68.0
1643595998,,,,68.0
1643596058,,,,68.0
1643596118,,,,68.0
1643596178,3495.0,5920.915,4602.715,68.0
1643596237,,,,68.0
1643596297,,,,68.0
