timestamp,normalUsage,reverseUsage,instanceElectricity,instanceCurrents,instanceCurrentsT
1643587200,37990.1,17041.6,,,
1643587210,,,2436.0,,
1643587241,,,2480.0,13.0,15.0
1643587270,,,2448.0,,
1643587301,,,2444.0,12.0,14.0
1643587330,,,2492.0,,
1643587361,,,2652.0,13.0,15.0
1643587391,,,2720.0,,
1643587421,,,2800.0,15.0,15.0
1643587451,,,2772.0,,
1643587481,,,2956.0,15.0,16.0
1643587511,,,3000.0,,
1643587541,,,3028.0,15.0,17.0
1643587571,,,3112.0,,
1643587601,,,3264.0,16.0,18.0
1643587631,,,3556.0,,
1643587661,,,3348.0,17.0,18.0
1643587691,,,3392.0,,
1643587721,,,3692.0,19.0,20.0
1643587751,,,3664.0,,
1643587781,,,3656.0,19.0,20.0
1643587811,,,3724.0,,
1643587841,,,4004.0,20.0,21.0
1643587871,,,4168.0,,
1643587901,,,4176.0,20.0,23.0
1643587931,,,3736.0,,
1643587961,,,3188.0,15.0,18.0
1643587991,,,2276.0,,
1643588021,,,2348.0,12.0,14.0
1643588051,,,2764.0,,
1643588082,,,2880.0,15.0,17.0
1643588111,,,3096.0,,
1643588142,,,3108.0,15.0,18.0
1643588171,,,3120.0,,
1643588201,,,3120.0,15.0,18.0
1643588231,,,2944.0,,
1643588262,,,2984.0,15.0,17.0
1643588291,,,3000.0,,
1643588322,,,2932.0,14.0,17.0
1643588352,,,2932.0,,
1643588382,,,2940.0,14.0,17.0
1643588412,,,2196.0,,
1643588442,,,2432.0,14.0,13.0
1643588472,,,2152.0,,
1643588502,,,2412.0,12.0,15.0
1643588532,,,2740.0,,
1643588562,,,2452.0,12.0,15.0
1643588592,,,2476.0,,
1643588622,,,2888.0,14.0,17.0
1643588652,,,2944.0,,
1643588682,,,3008.0,15.0,17.0
1643588712,,,3000.0,,
1643588742,,,3492.0,17.0,20.0
1643588772,,,3600.0,,
1643588802,,,3672.0,18.0,20.0
1643588832,,,3788.0,,
1643588862,,,3724.0,18.0,21.0
1643588892,,,3792.0,,
1643588922,,,3764.0,18.0,21.0
1643588952,,,3820.0,,
1643588982,,,3796.0,18.0,21.0
1643589000,37991.7,17041.6,,,
1643589012,,,3816.0,,
1643589042,,,3820.0,18.0,22.0
1643589072,,,3656.0,,
1643589102,,,4920.0,26.0,26.0
1643589132,,,4800.0,,
1643589162,,,4568.0,23.0,25.0
1643589193,,,4856.0,,
1643589223,,,4696.0,24.0,25.0
1643589252,,,4636.0,,
1643589282,,,4400.0,22.0,23.0
1643589313,,,4448.0,,
1643589343,,,3976.0,20.0,21.0
1643589372,,,3776.0,,
1643589403,,,3488.0,18.0,19.0
1643589433,,,3464.0,,
1643589462,,,3736.0,20.0,19.0
1643589493,,,3464.0,,
1643589523,,,3460.0,17.0,19.0
1643589553,,,3500.0,,
1643589583,,,3452.0,17.0,19.0
1643589613,,,3484.0,,
1643589643,,,3528.0,18.0,19.0
1643589673,,,3448.0,,
1643589703,,,3516.0,18.0,19.0
1643589733,,,3520.0,,
1643589763,,,3528.0,18.0,19.0
1643589793,,,3588.0,,
1643589823,,,3640.0,19.0,20.0
1643589853,,,3636.0,,
1643589883,,,3636.0,19.0,19.0
1643589913,,,3604.0,,
1643589943,,,3664.0,18.0,20.0
1643589973,,,3704.0,,
1643590003,,,3708.0,19.0,20.0
1643590033,,,3724.0,,
1643590063,,,3628.0,19.0,19.0
1643590093,,,3584.0,,
1643590123,,,3576.0,18.0,19.0
1643590153,,,3540.0,,
1643590183,,,3548.0,18.0,19.0
1643590213,,,3560.0,,
1643590243,,,3592.0,18.0,19.0
1643590273,,,3596.0,,
1643590303,,,3432.0,17.0,19.0
1643590333,,,3444.0,,
1643590363,,,3484.0,18.0,19.0
1643590393,,,3352.0,,
1643590423,,,3324.0,17.0,18.0
1643590454,,,3200.0,,
1643590484,,,3144.0,16.0,17.0
1643590514,,,3164.0,,
1643590543,,,3124.0,16.0,17.0
1643590573,,,3048.0,,
1643590604,,,3072.0,16.0,17.0
1643590634,,,3088.0,,
1643590664,,,3136.0,16.0,17.0
1643590694,,,3140.0,,
1643590724,,,3120.0,16.0,17.0
1643590754,,,3100.0,,
1643590784,,,3076.0,16.0,17.0
1643590800,37993.5,17041.6,,,
1643590814,,,3124.0,,
1643590844,,,3104.0,16.0,17.0
1643590874,,,3068.0,,
1643590904,,,3084.0,16.0,17.0
1643590934,,,3036.0,,
1643590964,,,3164.0,16.0,17.0
1643590994,,,3184.0,,
1643591024,,,3168.0,16.0,17.0
1643591054,,,3268.0,,
1643591084,,,3432.0,17.0,18.0
1643591114,,,3464.0,,
1643591144,,,3516.0,18.0,19.0
1643591174,,,3488.0,,
1643591204,,,3612.0,18.0,19.0
1643591234,,,3636.0,,
1643591264,,,3464.0,18.0,19.0
1643591294,,,3444.0,,
1643591324,,,3724.0,19.0,20.0
1643591355,,,3624.0,,
1643591384,,,3668.0,19.0,20.0
1643591415,,,3652.0,,
1643591444,,,3668.0,19.0,20.0
1643591474,,,3696.0,,
1643591505,,,3620.0,18.0,20.0
1643591534,,,3616.0,,
1643591564,,,3460.0,18.0,19.0
1643591595,,,3476.0,,
1643591625,,,3536.0,18.0,19.0
1643591655,,,3420.0,,
1643591685,,,3412.0,18.0,18.0
1643591715,,,3380.0,,
1643591745,,,3352.0,17.0,18.0
1643591775,,,3272.0,,
1643591805,,,3476.0,19.0,18.0
1643591835,,,3272.0,,
1643591865,,,3208.0,17.0,17.0
1643591895,,,3028.0,,
1643591925,,,3044.0,15.0,17.0
1643591955,,,3036.0,,
1643591985,,,3024.0,15.0,17.0
1643592015,,,2876.0,,
1643592045,,,2892.0,15.0,16.0
1643592075,,,2092.0,,
1643592105,,,2304.0,12.0,13.0
1643592135,,,3420.0,,
1643592165,,,3216.0,16.0,18.0
1643592195,,,3352.0,,
1643592225,,,3008.0,15.0,17.0
1643592255,,,3428.0,,
1643592285,,,3192.0,16.0,17.0
1643592316,,,2900.0,,
1643592345,,,2880.0,15.0,16.0
1643592375,,,3324.0,,
1643592405,,,3376.0,18.0,18.0
1643592435,,,3364.0,,
1643592466,,,3384.0,18.0,18.0
1643592495,,,2972.0,,
1643592525,,,2536.0,14.0,14.0
1643592555,,,2540.0,,
1643592585,,,3024.0,17.0,16.0
1643592600,37995.1,17041.6,,,
1643592616,,,3188.0,,
1643592646,,,3044.0,17.0,17.0
1643592676,,,2980.0,,
1643592706,,,3356.0,17.0,18.0
1643592736,,,3416.0,,
1643592766,,,3452.0,18.0,19.0
1643592796,,,3520.0,,
1643592826,,,4012.0,21.0,21.0
1643592855,,,4100.0,,
1643592886,,,4120.0,21.0,22.0
1643592916,,,4152.0,,
1643592946,,,4260.0,22.0,22.0
1643592976,,,4448.0,,
1643593006,,,4220.0,21.0,22.0
1643593036,,,4296.0,,
1643593066,,,4284.0,22.0,22.0
1643593096,,,4280.0,,
1643593126,,,4348.0,22.0,23.0
1643593156,,,4344.0,,
1643593186,,,5364.0,28.0,28.0
1643593216,,,5340.0,,
1643593246,,,5400.0,28.0,28.0
1643593276,,,5428.0,,
1643593306,,,4928.0,25.0,26.0
1643593336,,,4960.0,,
1643593366,,,4856.0,26.0,24.0
1643593396,,,4352.0,,
1643593427,,,5220.0,27.0,27.0
1643593456,,,5052.0,,
1643593486,,,5124.0,26.0,26.0
1643593516,,,4056.0,,
1643593546,,,4128.0,22.0,22.0
1643593577,,,4148.0,,
1643593607,,,4104.0,21.0,22.0
1643593637,,,4104.0,,
1643593667,,,4192.0,21.0,22.0
1643593696,,,4232.0,,
1643593726,,,4248.0,22.0,22.0
1643593757,,,4352.0,,
1643593787,,,3844.0,19.0,21.0
1643593817,,,3800.0,,
1643593847,,,3788.0,19.0,20.0
1643593877,,,3848.0,,
1643593907,,,3812.0,20.0,20.0
1643593937,,,3804.0,,
1643593967,,,3824.0,19.0,20.0
1643593997,,,3780.0,,
1643594027,,,3748.0,19.0,20.0
1643594057,,,3768.0,,
1643594087,,,3776.0,19.0,20.0
1643594117,,,3816.0,,
1643594147,,,4552.0,26.0,21.0
1643594177,,,5200.0,,
1643594207,,,5016.0,31.0,20.0
1643594237,,,3612.0,,
1643594267,,,3644.0,19.0,20.0
1643594297,,,3640.0,,
1643594327,,,3564.0,18.0,19.0
1643594357,,,3516.0,,
1643594387,,,3736.0,20.0,19.0
1643594400,37997.2,17041.6,,,
1643594417,,,3536.0,,
1643594447,,,3340.0,17.0,18.0
1643594477,,,3320.0,,
1643594507,,,3416.0,17.0,18.0
1643594537,,,3352.0,,
1643594567,,,3228.0,16.0,18.0
1643594597,,,3240.0,,
1643594628,,,3248.0,16.0,18.0
1643594657,,,3256.0,,
1643594687,,,3120.0,16.0,17.0
1643594717,,,3128.0,,
1643594747,,,3112.0,16.0,17.0
1643594777,,,3100.0,,
1643594808,,,3116.0,16.0,17.0
1643594837,,,3076.0,,
1643594868,,,3060.0,15.0,17.0
1643594897,,,3072.0,,
1643594928,,,3092.0,16.0,17.0
1643594958,,,3152.0,,
1643594988,,,3356.0,18.0,17.0
1643595017,,,3048.0,,
1643595048,,,3088.0,16.0,17.0
1643595078,,,3024.0,,
1643595108,,,3016.0,15.0,17.0
1643595138,,,3068.0,,
1643595168,,,3196.0,16.0,17.0
1643595198,,,3200.0,,
1643595228,,,3188.0,17.0,17.0
1643595258,,,2984.0,,
1643595288,,,2864.0,15.0,16.0
1643595318,,,2704.0,,
1643595348,,,2660.0,14.0,15.0
1643595378,,,2640.0,,
1643595408,,,2776.0,16.0,14.0
1643595438,,,2360.0,,
1643595468,,,2296.0,12.0,14.0
1643595498,,,2336.0,,
1643595528,,,2284.0,12.0,13.0
1643595558,,,2292.0,,
1643595588,,,2344.0,13.0,13.0
1643595618,,,2284.0,,
1643595648,,,2252.0,12.0,13.0
1643595678,,,2296.0,,
1643595708,,,2304.0,12.0,13.0
1643595738,,,2344.0,,
1643595768,,,2328.0,13.0,13.0
1643595798,,,2404.0,,
1643595829,,,2404.0,14.0,14.0
1643595858,,,2360.0,,
