time,instanceElectricity
01/31 00:00,2906.05558634339
01/31 01:00,3242.52576715764
01/31 02:00,3007.9183382169
01/31 03:00,4631.79896340061
01/31 04:00,924.140487719579
01/31 05:00,1356.2747569324
01/31 06:00,3806.78600692436
01/31 07:00,3760.67757138879
01/31 08:00,3471.52576777037
01/31 09:00,5132.85224570826
01/31 10:00,2683.26058676595
01/31 11:00,2361.55852297389
01/31 12:00,3510.98782138901
01/31 13:00,3632.91086350506
01/31 14:00,5252.7196477449
01/31 15:00,4597.78014631339
01/31 16:00,3112.6724020593
01/31 17:00,2898.62428921614
01/31 18:00,2970.74451445587
01/31 19:00,7281.57043310094
01/31 20:00,5462.0900563366
01/31 21:00,3242.97909042521
01/31 22:00,6857.4205647038
01/31 23:00,2846.93692173575
02/01 00:00,3045.98395239813
02/01 01:00,2744.98026018183
02/01 02:00,2618.91406863758
02/01 03:00,3299.61803912899
02/01 04:00,583.881372964743
02/01 05:00,1002.2189074755
02/01 06:00,2243.05105576708
02/01 07:00,2676.23082676288
02/01 08:00,3453.51673592544
02/01 09:00,3107.08481885119
02/01 10:00,3158.8246296066
02/01 11:00,2410.38466541229
02/01 12:00,2806.93701598108
02/01 13:00,5830.2303140231
02/01 14:00,5919.77501618087
02/01 15:00,3657.52425646272
02/01 16:00,4238.03610736882
02/01 17:00,3528.85612824594
02/01 18:00,3785.35376079798
02/01 19:00,6461.21478634274
02/01 20:00,4797.32555311861
02/01 21:00,2265.34191827818
02/01 22:00,4819.32729406497
02/01 23:00,562.788903765172
02/02 00:00,2909.52841559827
02/02 01:00,2206.22584785529
02/02 02:00,3515.87031833019
02/02 03:00,2965.36733864083
02/02 04:00,379.322423120708
02/02 05:00,628.414232657019
02/02 06:00,2091.62297343492
02/02 07:00,2175.71468182196
02/02 08:00,3180.44715446043
02/02 09:00,2674.12384395929
02/02 10:00,3108.12873125755
02/02 11:00,2054.45015368063
02/02 12:00,2602.23315873126
02/02 13:00,4743.8187547766
02/02 14:00,3962.05245578817
02/02 15:00,4389.0702604847
02/02 16:00,2760.66468993568
02/02 17:00,2283.77621411735
02/02 18:00,3036.7238220884
02/02 19:00,6302.2341177537
02/02 20:00,4719.92644124806
02/02 21:00,2189.23199791121
02/02 22:00,5341.58081787213
02/02 23:00,2417.58381044244
02/03 00:00,2795.6834984755
02/03 01:00,2902.42341521422
02/03 02:00,1919.66045802165
02/03 03:00,3414.26721477083
02/03 04:00,21.0269537538665
02/03 05:00,132.194479398735
02/03 06:00,1752.32374234521
